formula,Crystal System,band_gap_calculated (eV)
AlFe2,Cubic,0
AlFe2,Hexagonal,0
AlFe3,Cubic,0
AlFe3,Orthorhombic,0
AlFe4,Orthorhombic,0
AlGa3,Tetragonal,0
AlGe3,Tetragonal,0
AlH12,Cubic,0
AlH3,Cubic,3.1107
AlH3,Orthorhombic,3.1155
AlH3,Trigonal,2.1977
AlH6,Monoclinic,0
AlI3,Monoclinic,3.2639
AlIr,Cubic,0
AlMo3,Cubic,0
AlN,Cubic,3.86155
AlN,Hexagonal,3.6577
AlNi,Cubic,0
AlNi,Monoclinic,0
AlNi,Tetragonal,0
AlNi2,Trigonal,0
AlNi3,Cubic,0
AlNi3,Hexagonal,0
AlO,Cubic,0
AlO2,Orthorhombic,0.3056
AlO3,Monoclinic,0.580425
AlO3,Orthorhombic,0
AlO3,Triclinic,0
AlO3,Trigonal,0
AlOs,Cubic,0
AlP,Cubic,1.6294
AlP,Hexagonal,1.9533
AlP,Tetragonal,2.3944
AlP2,Orthorhombic,0
AlPb3,Hexagonal,0
AlPb3,Tetragonal,0
AlPd,Cubic,0
AlPd,Trigonal,0
AlPd2,Orthorhombic,0
AlPd3,Cubic,0
AlPd5,Orthorhombic,0
AlPt,Cubic,0
AlPt2,Orthorhombic,0
AlPt3,Cubic,0
AlPt3,Tetragonal,0
AlRe,Cubic,0
AlRe,Tetragonal,0
AlRe2,Tetragonal,0
AlRh,Cubic,0
AlRh3,Hexagonal,0
AlRu,Cubic,0
AlSb,Cubic,1.0004
AlSb,Hexagonal,0.9179
AlSb,Orthorhombic,0
AlSb,Tetragonal,0
AlSi,Cubic,0
AlSn,Hexagonal,0
AlTc2,Tetragonal,0
AlTc3,Hexagonal,0
AlV,Orthorhombic,0
AlV2,Orthorhombic,0
AlV3,Cubic,0
AlV3,Orthorhombic,0
As12S13,Triclinic,0.4861
As16S17,Triclinic,1.9747
As24S25,Triclinic,0.0824
As2Ir,Monoclinic,0.8155
As2O3,Cubic,4.0234
As2O3,Monoclinic,3.330257143
As2O3,Orthorhombic,3.0503
As2O3,Tetragonal,3.6287
As2O5,Orthorhombic,1.426
As2O5,Tetragonal,1.49695
As2O9,Monoclinic,0
As2Os,Orthorhombic,0.6647
As2Pd,Cubic,0
As2Pd5,Hexagonal,0
As2Pt,Cubic,0.0785
As2Rh,Monoclinic,0.2625
As2Ru,Orthorhombic,0.4492
As2S,Tetragonal,0
As2S3,Monoclinic,2.0989
As2S3,Triclinic,1.9873
As2Se,Tetragonal,0
As2Se3,Monoclinic,1.02345
As2W,Monoclinic,0
As3Ir,Cubic,0.0268
As3Rh,Cubic,0
As3W,Cubic,0
As3W,Hexagonal,0
