formula,Crystal System,band_gap_calculated (eV)
AsRh2,Orthorhombic,0
AsRu,Orthorhombic,0
AsS,Monoclinic,2.0472
AsS,Orthorhombic,0.207866667
AsS,Triclinic,0.5018
AsS2,Monoclinic,1.2919
AsSe,Monoclinic,1.368
Au2O3,Orthorhombic,0.869
Au2O3,Triclinic,0.739
Au2S,Cubic,1.9091
Au3Br,Hexagonal,0
Au3Br,Tetragonal,0
Au3Cl,Tetragonal,0
Au3F8,Monoclinic,0.5426
Au3N,Triclinic,0
Au3O,Hexagonal,0
Au3S,Hexagonal,0
AuBr,Tetragonal,1.83005
AuBr2,Tetragonal,0
AuBr3,Monoclinic,0.8891
AuC,Hexagonal,0
AuC2,Hexagonal,2.8504
AuCl,Hexagonal,0
AuCl,Monoclinic,1.296
AuCl,Tetragonal,1.81205
AuCl2,Triclinic,0.8979
AuCl3,Monoclinic,1.3606
AuCl4,Tetragonal,0.0019
AuF3,Hexagonal,1.5542
AuF5,Orthorhombic,0.7042
AuI,Tetragonal,2.0942
AuI2,Tetragonal,0
AuN,Cubic,0
AuN2,Cubic,0
AuN2,Orthorhombic,0
AuS,Hexagonal,0
AuS2,Cubic,0
AuSe,Hexagonal,0
AuSe,Monoclinic,0.1314
B10H13,Monoclinic,3.41
B10H13,Orthorhombic,3.2507
B10H13,Tetragonal,3.3447
B11Rh18,Triclinic,0
B12S,Trigonal,0.8982
B12W,Cubic,0
B13C2,Trigonal,0
B13H19,Monoclinic,2.8072
B13N2,Trigonal,0
B13P,Trigonal,0
B13P2,Trigonal,0
B17F27,Triclinic,2.5882
B24Mo7,Hexagonal,0
B2Au,Hexagonal,0
B2F3,Monoclinic,2.4325
B2H3,Orthorhombic,3.1063
B2H5,Monoclinic,6.3315
B2Mo,Hexagonal,0
B2Mo,Trigonal,0
B2Mo3,Tetragonal,0
B2O,Trigonal,0
B2O3,Orthorhombic,8.3751
B2O3,Triclinic,4.28846
B2O3,Trigonal,6.3017
B2Os,Orthorhombic,0
B2Pd5,Monoclinic,0
B2Pt3,Trigonal,0
B2Ru,Orthorhombic,0
B2S3,Monoclinic,2.4867
B2S3,Tetragonal,2.5264
B2S3,Trigonal,1.5315
B2W,Hexagonal,0
B36O5,Triclinic,2.5603
B3H4,Orthorhombic,2.3449
B3H5,Monoclinic,3.7409
B3H5,Orthorhombic,3.8726
B3Ir2,Monoclinic,0
B3Mo,Trigonal,0
B3Os2,Hexagonal,0
B3Pd16,Monoclinic,0
B3Rh7,Hexagonal,0
B3Ru2,Hexagonal,0
B3Ru7,Hexagonal,0
B4C,Monoclinic,3.0415
B4C,Triclinic,0
B4C,Trigonal,0.504966667
B4H5,Monoclinic,2.8812
B4Mo,Hexagonal,0
B4Os,Hexagonal,0
B4Rh5,Hexagonal,0
B4W,Hexagonal,0
B4W,Tetragonal,0
B5F6,Tetragonal,3.297
B5H11,Monoclinic,4.7917
B5H4,Tetragonal,2.8736
B5H7,Monoclinic,3.6061
B5H8,Orthorhombic,5.4958
B5H9,Tetragonal,5.883433333
B5I,Monoclinic,0.0995
B5Mo2,Hexagonal,0
B5Mo2,Trigonal,0
B5W2,Hexagonal,0
B5W2,Trigonal,0
B6As,Trigonal,2.6454
B6O,Trigonal,1.8564
B6P,Trigonal,2.4757
B6Pb,Cubic,0.9206
B7H10,Orthorhombic,2.5503
B84O11,Triclinic,1.289
B8O,Monoclinic,1.79235
B8P,Monoclinic,0.1846
B8Ru11,Orthorhombic,0
B9C,Tetragonal,0.0576
B9C,Triclinic,0
B9H11,Monoclinic,3.3443
B9H11,Orthorhombic,2.9653
B9N,Tetragonal,0
Ba10Ga,Cubic,0
Ba10Si69,Orthorhombic,0
